Country,Date,Monthly share of total hashrate (%)
Iceland,2019/10/1,0.124835362
India,2019/10/1,0.165262774
Indonesia,2019/10/1,0.012095694
Iran,2019/10/1,1.773525846
Iraq,2019/10/1,0.002848564
Ireland,2019/10/1,0.000266341
Israel,2019/10/1,0.000400421
Italy,2019/10/1,0.011929566
Japan,2019/10/1,0.002650386
Jordan,2019/10/1,0.034431175
Kazakhstan,2019/10/1,1.368670486
Kenya,2019/10/1,0
Kosovo,2019/10/1,0.015662602
Kuwait,2019/10/1,0.048444015
Kyrgyzstan,2019/10/1,0.168809472
Lao People's Democratic Republic,2019/10/1,0.015457833
Latvia,2019/10/1,0.035975627
Lebanon,2019/10/1,0.00492543
Lesotho,2019/10/1,3.52893E-05
Libya,2019/10/1,1.413693598
Lithuania,2019/10/1,0.013862316
Luxembourg,2019/10/1,0.00026432
Macedonia,2019/10/1,0.026277124
Malawi,2019/10/1,0.000147605
Malaysia,2019/10/1,3.25903116
Mexico,2019/10/1,0.035731886
Moldova,2019/10/1,0.022142938
Mongolia,2019/10/1,0.049766402
Montenegro,2019/10/1,0.005004904
Morocco,2019/10/1,5.64317E-05
Mozambique,2019/10/1,5.17173E-10
Myanmar (Burma),2019/10/1,0.00823812
Nepal,2019/10/1,0.000259078
Netherlands,2019/10/1,0.109840776
New Zealand,2019/10/1,0.002187299
Nigeria,2019/10/1,0.000464509
Norway,2019/10/1,0.825508478
Pakistan,2019/10/1,0.000411339
Panama,2019/10/1,0.000177596
Paraguay,2019/10/1,0.238254473
Peru,2019/10/1,0.028426016
Philippines,2019/10/1,0.001034711
Poland,2019/10/1,0.010967322
Portugal,2019/10/1,0.009652059
Qatar,2019/10/1,0.003531239
Romania,2019/10/1,0.033682137
Russia,2019/10/1,5.86779384
Saudi Arabia,2019/10/1,0.004322694
Serbia,2019/10/1,0.011785301
Seychelles,2019/10/1,0.004899267
Singapore,2019/10/1,0.054703309
Slovakia,2019/10/1,0.00948852
Slovenia,2019/10/1,0.00183795
South Africa,2019/10/1,0.040673487
South Korea,2019/10/1,0.017753324
Spain,2019/10/1,0.025661636
Sri Lanka,2019/10/1,8.82984E-05
Suriname,2019/10/1,0.000110236
Sweden,2019/10/1,0.009398183
Switzerland,2019/10/1,0.072665108
Syria,2019/10/1,0.001461101
Tajikistan,2019/10/1,0.000759018
Thailand,2019/10/1,0.40953813
Trinidad and Tobago,2019/10/1,0.078840687
Turkey,2019/10/1,0.036215571
Turkmenistan,2019/10/1,0.001437969
UK,2019/10/1,0.103320838
Uganda,2019/10/1,0.000498734
Ukraine,2019/10/1,0.263214022
United Arab Emirates,2019/10/1,0.082267856
United States,2019/10/1,5.576634183
Uruguay,2019/10/1,0.000234505
Uzbekistan,2019/10/1,0.066583698
Venezuela,2019/10/1,0.421552594
Vietnam,2019/10/1,0.003738355
Zimbabwe,2019/10/1,0.007090241
"Hong Kong SAR,China",2019/10/1,0.008338672
"Macau SAR,China",2019/10/1,5.4686E-07
"Taiwan,China",2019/10/1,0.069389495
China,2019/10/1,74.86017847
Afghanistan,2019/11/1,0.000149002
Albania,2019/11/1,0.011143696
Algeria,2019/11/1,0.003031224
Andorra,2019/11/1,0.002740282
Angola,2019/11/1,0.001762253
Argentina,2019/11/1,0.012749196
Armenia,2019/11/1,0.124933801
Australia,2019/11/1,0.004132223
Austria,2019/11/1,0.008536872
Azerbaijan,2019/11/1,0.029826987
Bahrain,2019/11/1,0.000356153
Bangladesh,2019/11/1,0.001736401
Belarus,2019/11/1,0.012953424
Belgium,2019/11/1,0.003604555
Bhutan,2019/11/1,0
Bolivia,2019/11/1,6.21499E-05
Bosnia & Herzegovina,2019/11/1,0.004145073
Botswana,2019/11/1,0
Brazil,2019/11/1,0.038149443
British Virgin Islands,2019/11/1,5.76814E-06
Brunei Darussalam,2019/11/1,0.089963323
Bulgaria,2019/11/1,0.022492708
Cameroon,2019/11/1,0.000654396
Canada,2019/11/1,0.868398601
Chile,2019/11/1,0.000422009
Colombia,2019/11/1,0.029946419
Costa Rica,2019/11/1,0.000364721
Croatia,2019/11/1,0.002621408
Curacao,2019/11/1,0.000106935
Cyprus,2019/11/1,0.00150771
Czech Republic,2019/11/1,0.022840029
Denmark,2019/11/1,0.003740101
Dominican Republic,2019/11/1,0.012655743
Ecuador,2019/11/1,0.000133106
Egypt,2019/11/1,0.028186264
El Salvador,2019/11/1,3.11368E-05
Estonia,2019/11/1,0.033542873
Ethiopia,2019/11/1,0.075133978
Finland,2019/11/1,0.049919141
France,2019/11/1,0.112280202
Georgia,2019/11/1,0.267040927
Germany,2019/11/1,0.343507742
Ghana,2019/11/1,0.00167696
Greece,2019/11/1,0.014592286
Guatemala,2019/11/1,0.000465112
Hungary,2019/11/1,0.008148399
Iceland,2019/11/1,0.259023277
India,2019/11/1,0.16026788
Indonesia,2019/11/1,0.010061694
Iran,2019/11/1,1.599808942
Iraq,2019/11/1,0.002086728
Ireland,2019/11/1,0.000259299
Israel,2019/11/1,0.00025365
Italy,2019/11/1,0.022928296
Japan,2019/11/1,0.00325473
Jordan,2019/11/1,0.024258793
Kazakhstan,2019/11/1,1.707154907
Kosovo,2019/11/1,0.014524283
Kuwait,2019/11/1,0.07611627
Kyrgyzstan,2019/11/1,0.175155275
Lao People's Democratic Republic,2019/11/1,0.01367664
Latvia,2019/11/1,0.028745656
Lebanon,2019/11/1,0.004769794
Lesotho,2019/11/1,3.40003E-05
Libya,2019/11/1,1.35472957
Lithuania,2019/11/1,0.015854186
Luxembourg,2019/11/1,0.000484076
Macedonia,2019/11/1,0.028298442
Malawi,2019/11/1,7.68542E-05
Malaysia,2019/11/1,3.664615462
Mexico,2019/11/1,0.053068683
Moldova,2019/11/1,0.02072025
Mongolia,2019/11/1,0.074642733
Montenegro,2019/11/1,0.005403451
Morocco,2019/11/1,7.55311E-05
Mozambique,2019/11/1,2.82303E-10
Myanmar (Burma),2019/11/1,0.006194776
Nepal,2019/11/1,0
Netherlands,2019/11/1,0.124481433
New Zealand,2019/11/1,0.002880936
Nigeria,2019/11/1,0.000575239
Norway,2019/11/1,0.863005283
Pakistan,2019/11/1,0.000380276
Palestinian Territories,2019/11/1,0
Panama,2019/11/1,6.87503E-05
Paraguay,2019/11/1,0.216864914
Peru,2019/11/1,0.026170187
Philippines,2019/11/1,0.001253442
Poland,2019/11/1,0.010398863
Portugal,2019/11/1,0.010013098
Qatar,2019/11/1,0.004929859
Romania,2019/11/1,0.037794418
Russia,2019/11/1,6.244557411
Saudi Arabia,2019/11/1,0.004686879
Serbia,2019/11/1,0.011433976
Seychelles,2019/11/1,0.00400079
Singapore,2019/11/1,0.065968423
Slovakia,2019/11/1,0.009553219
Slovenia,2019/11/1,0.002681834
South Africa,2019/11/1,0.046892449
South Korea,2019/11/1,0.021039631
Spain,2019/11/1,0.02596179
Sri Lanka,2019/11/1,0.000107171
Suriname,2019/11/1,0.000201455
Sweden,2019/11/1,0.034347515
Switzerland,2019/11/1,0.05725088
Syria,2019/11/1,0.000777573
Tajikistan,2019/11/1,0.000820948
Thailand,2019/11/1,0.441805817
Trinidad and Tobago,2019/11/1,0.090896363
Turkey,2019/11/1,0.053511439
Turkmenistan,2019/11/1,0.001592982
UK,2019/11/1,0.079203338
Uganda,2019/11/1,0.000422959
Ukraine,2019/11/1,0.277420535
United Arab Emirates,2019/11/1,0.077391267
United States,2019/11/1,6.580777663
Uruguay,2019/11/1,0.000257252
Uzbekistan,2019/11/1,0.087155928
Venezuela,2019/11/1,0.482571765
Vietnam,2019/11/1,0.003355899
Zimbabwe,2019/11/1,0.007626483
"Hong Kong SAR,China",2019/11/1,0.006261711
"Macau SAR,China",2019/11/1,1.19847E-06
"Taiwan,China",2019/11/1,0.075523367
China,2019/11/1,72.40849651
Afghanistan,2019/12/1,0.000150118
Albania,2019/12/1,0.007870794
Algeria,2019/12/1,0.001915798
Angola,2019/12/1,0.004912458
Argentina,2019/12/1,0.036525256
Armenia,2019/12/1,0.127797988
Australia,2019/12/1,0.002896951
Austria,2019/12/1,0.010640103
Azerbaijan,2019/12/1,0.02650429
Bahrain,2019/12/1,0.00037464
Bangladesh,2019/12/1,0.001649772
Belarus,2019/12/1,0.010342824
Belgium,2019/12/1,0.003009779
Benin,2019/12/1,0
Bolivia,2019/12/1,7.84489E-05
Bosnia & Herzegovina,2019/12/1,0.004517056
Brazil,2019/12/1,0.034834697
British Virgin Islands,2019/12/1,4.7797E-05
Brunei Darussalam,2019/12/1,0.110353377
Bulgaria,2019/12/1,0.017875866
Cameroon,2019/12/1,0.001464927
Canada,2019/12/1,1.027137748
Chile,2019/12/1,0.000445048
Colombia,2019/12/1,0.02955121
Costa Rica,2019/12/1,0.00028975
Croatia,2019/12/1,0.002718807
Cuba,2019/12/1,0
Curacao,2019/12/1,0.000128082
Cyprus,2019/12/1,0.000492949
Czech Republic,2019/12/1,0.017407905
Denmark,2019/12/1,0.00386346
Dominican Republic,2019/12/1,0.017360705
Ecuador,2019/12/1,0.000123376
Egypt,2019/12/1,0.034150016
El Salvador,2019/12/1,3.15014E-05
Estonia,2019/12/1,0.034532351
Ethiopia,2019/12/1,0.067209889
Finland,2019/12/1,0.040020905
France,2019/12/1,0.14992473
Georgia,2019/12/1,0.265437565
Germany,2019/12/1,0.403025982
Ghana,2019/12/1,0.001982961
Greece,2019/12/1,0.016698231
Guatemala,2019/12/1,0.000449571
Honduras,2019/12/1,0.000443695
Hungary,2019/12/1,0.007608258
Iceland,2019/12/1,0.291534268
India,2019/12/1,0.230285158
Indonesia,2019/12/1,0.009385693
Iran,2019/12/1,2.714502971
Iraq,2019/12/1,0.00160422
Ireland,2019/12/1,0.000688749
Israel,2019/12/1,0.000278209
Italy,2019/12/1,0.021503161
Jamaica,2019/12/1,3.30052E-09
Japan,2019/12/1,0.006412289
Jordan,2019/12/1,0.021081384
Kazakhstan,2019/12/1,2.176092393
Kosovo,2019/12/1,0.011285256
Kuwait,2019/12/1,0.093625131
Kyrgyzstan,2019/12/1,0.174755348
Lao People's Democratic Republic,2019/12/1,0.009867877
Latvia,2019/12/1,0.023182041
Lebanon,2019/12/1,0.004330973
Lesotho,2019/12/1,3.34804E-05
Libya,2019/12/1,0.375983499
Lithuania,2019/12/1,0.013891842
Luxembourg,2019/12/1,0.001915097
Macedonia,2019/12/1,0.035787169
Malawi,2019/12/1,8.95468E-09
Malaysia,2019/12/1,3.922160317
Malta,2019/12/1,0
Mauritius,2019/12/1,0
Mexico,2019/12/1,0.059627635
Moldova,2019/12/1,0.016943188
Mongolia,2019/12/1,0.031445024
Montenegro,2019/12/1,0.005169929
Morocco,2019/12/1,5.02705E-05
Mozambique,2019/12/1,1.10107E-09
Myanmar (Burma),2019/12/1,0.005240004
Netherlands,2019/12/1,0.173594892
New Zealand,2019/12/1,0.002800464
Niger,2019/12/1,0.001901212
Nigeria,2019/12/1,0.001049029
Norway,2019/12/1,0.991921372
Pakistan,2019/12/1,0.000674958
Palestinian Territories,2019/12/1,0
Panama,2019/12/1,0.000371818
Paraguay,2019/12/1,0.208113405
Peru,2019/12/1,0.012910554
Philippines,2019/12/1,0.003325454
Poland,2019/12/1,0.00838984
Portugal,2019/12/1,0.009590709
Qatar,2019/12/1,0.003953532
Romania,2019/12/1,0.036753193
Russia,2019/12/1,6.229196199
Saudi Arabia,2019/12/1,0.005066286
Serbia,2019/12/1,0.008934143
Seychelles,2019/12/1,0.005092851
Singapore,2019/12/1,0.066070353
Slovakia,2019/12/1,0.00889816
Slovenia,2019/12/1,0.002171067
South Africa,2019/12/1,0.050015966
South Korea,2019/12/1,0.025512954
Spain,2019/12/1,0.022953024
Sri Lanka,2019/12/1,5.97651E-05
Suriname,2019/12/1,0.000195931
Sweden,2019/12/1,0.048499179
Switzerland,2019/12/1,0.043445804
Syria,2019/12/1,0.01095913
Tajikistan,2019/12/1,0.000591167
Thailand,2019/12/1,0.667278382
Trinidad and Tobago,2019/12/1,0.074354837
Turkey,2019/12/1,0.037427699
Turkmenistan,2019/12/1,0.002157825
UK,2019/12/1,0.095540345
Ukraine,2019/12/1,0.280091885
United Arab Emirates,2019/12/1,0.093620347
United States,2019/12/1,3.867278836
Puerto Rico,2019/12/1,2.72585E-06
Uruguay,2019/12/1,0.000296408
Uzbekistan,2019/12/1,0.072533645
Venezuela,2019/12/1,0.487927774
Vietnam,2019/12/1,0.004389949
"Yemen, Rep.",2019/12/1,0
Zambia,2019/12/1,2.45789E-05
Zimbabwe,2019/12/1,0.008593237
"Hong Kong SAR,China",2019/12/1,0.008797542
"Macau SAR,China",2019/12/1,3.81696E-07
"Taiwan,China",2019/12/1,0.076608023
China,2019/12/1,73.5407054
Afghanistan,2020/1/1,5.73869E-05
Albania,2020/1/1,0.007497182
Algeria,2020/1/1,0.002599564
Angola,2020/1/1,0.007578156
Argentina,2020/1/1,0.007276981
Armenia,2020/1/1,0.111489681
Australia,2020/1/1,0.002874383
Austria,2020/1/1,0.010266632
Azerbaijan,2020/1/1,0.029108642
Bahrain,2020/1/1,0.0005127
Bangladesh,2020/1/1,0.001873086
Belarus,2020/1/1,0.007997374
Belgium,2020/1/1,0.002936772
Benin,2020/1/1,0.000144677
Bermuda,2020/1/1,0
Bolivia,2020/1/1,7.57946E-05
Bosnia & Herzegovina,2020/1/1,0.014564469
Brazil,2020/1/1,0.032621853
Brunei Darussalam,2020/1/1,0.130016243
Bulgaria,2020/1/1,0.01459743
Cameroon,2020/1/1,0.001577277
Canada,2020/1/1,1.058272164
Chile,2020/1/1,0.000453605
Colombia,2020/1/1,0.028885194
Costa Rica,2020/1/1,0.000379078
Croatia,2020/1/1,0.0025369
Curacao,2020/1/1,0.000234641
Cyprus,2020/1/1,0.000151132
Czech Republic,2020/1/1,0.00911692
Denmark,2020/1/1,0.002879743
Dominican Republic,2020/1/1,0.017518315
Ecuador,2020/1/1,0.000123537
Egypt,2020/1/1,0.045843219
El Salvador,2020/1/1,3.26505E-05
Estonia,2020/1/1,0.030828608
Ethiopia,2020/1/1,0.059654853
Finland,2020/1/1,0.044375653
France,2020/1/1,0.147249773
Georgia,2020/1/1,0.260312947
Germany,2020/1/1,0.383056787
Ghana,2020/1/1,0.002071308
Greece,2020/1/1,0.021080245
Guatemala,2020/1/1,0.000585676
Honduras,2020/1/1,9.1521E-06
Hungary,2020/1/1,0.0073915
Iceland,2020/1/1,0.121208314
India,2020/1/1,0.220946653
Indonesia,2020/1/1,0.011622881
Iran,2020/1/1,3.204101238
Iraq,2020/1/1,0.001225553
Ireland,2020/1/1,0.000331159
Israel,2020/1/1,0.000487788
Italy,2020/1/1,0.017731914
Japan,2020/1/1,0.009743442
Jordan,2020/1/1,0.070518867
Kazakhstan,2020/1/1,3.484938918
Kosovo,2020/1/1,0.011359765
Kuwait,2020/1/1,0.102264493
Kyrgyzstan,2020/1/1,0.145855016
Lao People's Democratic Republic,2020/1/1,0.010718684
Latvia,2020/1/1,0.019691904
Lebanon,2020/1/1,0.003198759
Lesotho,2020/1/1,8.5845E-06
Libya,2020/1/1,0.173254591
Lithuania,2020/1/1,0.014687786
Luxembourg,2020/1/1,0.000659918
Macedonia,2020/1/1,0.043892822
Malawi,2020/1/1,3.52206E-09
Malaysia,2020/1/1,4.134091397
Mali,2020/1/1,0.000512994
Malta,2020/1/1,0
Mauritius,2020/1/1,5.46058E-05
Mexico,2020/1/1,0.051577413
Moldova,2020/1/1,0.018155238
Mongolia,2020/1/1,0.021026951
Montenegro,2020/1/1,0.005243427
Morocco,2020/1/1,3.16781E-05
Myanmar (Burma),2020/1/1,0.006193252
Netherlands,2020/1/1,0.135476624
New Zealand,2020/1/1,0.002049184
Nicaragua,2020/1/1,0
Niger,2020/1/1,0.000964686
Nigeria,2020/1/1,0.000489944
Norway,2020/1/1,1.010868148
Pakistan,2020/1/1,0.000731005
Palestinian Territories,2020/1/1,0
Panama,2020/1/1,0.000461397
Paraguay,2020/1/1,0.179148539
Peru,2020/1/1,0.007874931
Philippines,2020/1/1,0.002557107
Poland,2020/1/1,0.010105995
Portugal,2020/1/1,0.009870102
Qatar,2020/1/1,0.004916842
Romania,2020/1/1,0.034727628
Russia,2020/1/1,6.04480069
Saudi Arabia,2020/1/1,0.005678677
Serbia,2020/1/1,0.011613917
Seychelles,2020/1/1,0.003519556
Singapore,2020/1/1,0.056076761
Slovakia,2020/1/1,0.009042887
Slovenia,2020/1/1,0.001941407
South Africa,2020/1/1,0.053719112
South Korea,2020/1/1,0.024878554
Spain,2020/1/1,0.022509149
Sri Lanka,2020/1/1,0.000456278
Suriname,2020/1/1,0.000192716
Sweden,2020/1/1,0.025279382
Switzerland,2020/1/1,0.036363516
Syria,2020/1/1,0.001484091
Tajikistan,2020/1/1,0.000564148
Tanzania,2020/1/1,1.76676E-05
Thailand,2020/1/1,0.547496487
Trinidad and Tobago,2020/1/1,0.02844694
Turkey,2020/1/1,0.027879239
Turkmenistan,2020/1/1,0.005717395
UK,2020/1/1,0.099002363
Ukraine,2020/1/1,0.25103939
United Arab Emirates,2020/1/1,0.095305989
United States,2020/1/1,3.439173565
Puerto Rico,2020/1/1,0.000131916
Uruguay,2020/1/1,0.000548933
Uzbekistan,2020/1/1,0.062059578
Venezuela,2020/1/1,0.495267204
Vietnam,2020/1/1,0.004284176
Zambia,2020/1/1,5.52549E-06
Zimbabwe,2020/1/1,0.008145257
"Hong Kong SAR,China",2020/1/1,0.078805932
"Macau SAR,China",2020/1/1,1.27351E-05
"Taiwan,China",2020/1/1,0.056781898
China,2020/1/1,72.81789151
Afghanistan,2020/2/1,0.000139271
Albania,2020/2/1,0.004629755
Algeria,2020/2/1,0.00286287
Angola,2020/2/1,0.007033413
Argentina,2020/2/1,0.005818037
Armenia,2020/2/1,0.118807244
Australia,2020/2/1,0.003213882
Austria,2020/2/1,0.015843694
Azerbaijan,2020/2/1,0.022216536
Bahrain,2020/2/1,0.000448916
Bangladesh,2020/2/1,0.001348395
Belarus,2020/2/1,0.008307244
Belgium,2020/2/1,0.002635685
Benin,2020/2/1,0.000145329
Bolivia,2020/2/1,7.29409E-05
Bosnia & Herzegovina,2020/2/1,0.015299117
Brazil,2020/2/1,0.038404265
Brunei Darussalam,2020/2/1,0.108651593
Bulgaria,2020/2/1,0.012431044
Cameroon,2020/2/1,0.003405606
Canada,2020/2/1,0.90374661
Chile,2020/2/1,0.000532866
Colombia,2020/2/1,0.022583589
Costa Rica,2020/2/1,0.000193837
Croatia,2020/2/1,0.002534344
Cuba,2020/2/1,0
Curacao,2020/2/1,9.5863E-05
Cyprus,2020/2/1,0.000436326
Czech Republic,2020/2/1,0.006764188
Denmark,2020/2/1,0.003154889
Dominican Republic,2020/2/1,0.016028109
Ecuador,2020/2/1,0.000119636
Egypt,2020/2/1,0.055668746
El Salvador,2020/2/1,1.51716E-08
Estonia,2020/2/1,0.028147441
Ethiopia,2020/2/1,0.048297241
Finland,2020/2/1,0.011427437
France,2020/2/1,0.179469512
Georgia,2020/2/1,0.26893963
Germany,2020/2/1,0.368031075
Ghana,2020/2/1,0.001754284
Greece,2020/2/1,0.0211605
Guatemala,2020/2/1,0.000497435
Honduras,2020/2/1,0.002622275
Hungary,2020/2/1,0.006229764
Iceland,2020/2/1,0.118595962
India,2020/2/1,0.244987331
Indonesia,2020/2/1,0.012369611
Iran,2020/2/1,2.956219975
Iraq,2020/2/1,0.001674888
Ireland,2020/2/1,0.001421245
Israel,2020/2/1,0.000428301
Italy,2020/2/1,0.012803587
Japan,2020/2/1,0.01580202
Jordan,2020/2/1,0.087908908
Kazakhstan,2020/2/1,3.202674443
Kenya,2020/2/1,0.000292477
Kosovo,2020/2/1,0.011162256
Kuwait,2020/2/1,0.093880503
Kyrgyzstan,2020/2/1,0.129956949
Lao People's Democratic Republic,2020/2/1,0.039474968
Latvia,2020/2/1,0.021253053
Lebanon,2020/2/1,0.004519365
Lesotho,2020/2/1,8.17339E-06
Libya,2020/2/1,0.111645012
Lithuania,2020/2/1,0.014247249
Luxembourg,2020/2/1,0.00027855
Macedonia,2020/2/1,0.050565836
Malaysia,2020/2/1,3.87540422
Mali,2020/2/1,0.000473603
Malta,2020/2/1,6.84805E-06
Mauritius,2020/2/1,0.000126862
Mexico,2020/2/1,0.054775217
Moldova,2020/2/1,0.018096211
Mongolia,2020/2/1,0.024538044
Montenegro,2020/2/1,0.005672556
Morocco,2020/2/1,2.36601E-05
Myanmar (Burma),2020/2/1,0.012188238
Namibia,2020/2/1,0
Netherlands,2020/2/1,0.13027086
New Zealand,2020/2/1,0.001539441
Niger,2020/2/1,0.003069347
Nigeria,2020/2/1,0.000583289
Norway,2020/2/1,0.951479388
Oman,2020/2/1,2.07599E-09
Pakistan,2020/2/1,0.000818905
Palestinian Territories,2020/2/1,0
Panama,2020/2/1,0.011375205
Paraguay,2020/2/1,0.180973543
Peru,2020/2/1,0.009387061
Philippines,2020/2/1,0.001189697
Poland,2020/2/1,0.024099787
Portugal,2020/2/1,0.009695664
Qatar,2020/2/1,0.004196473
Romania,2020/2/1,0.013542189
Russia,2020/2/1,5.464692737
Saudi Arabia,2020/2/1,0.005068713
Senegal,2020/2/1,0
Serbia,2020/2/1,0.015512436
Seychelles,2020/2/1,0.004714237
